Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? 
1004377,110043803578,121 REGIONAL DISPOSAL FACILITY,MELISSA,TX,75454,3820 SAM RAYBURN HIGHWAY,COLLIN COUNTY,33.30,-96.54,562212,HH,Waste,"241,883.50",,"241,883.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"241,883.50",,,,N,N,N
1010040,110070082056,15-18565/15-18662,Hazard,KY,40701,4200 S. Hwy 15,PERRY COUNTY,37.22,-83.16,212112,FF,Other,"225,708.25",,"225,708.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225,708.25",,,,,,N,N,N
1010085,110055519176,15-19015,Hazard,KY,41701,1845 S. KY HWY 15,PERRY COUNTY,37.24,-83.18,212112,FF,Other,"68,761.00",,"68,761.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,761.00",,,,,,N,N,N
1000112,110019827286,23rd and 3rd,BROOKLYN,NY,11232,730 3rd Avenue,Kings,40.66,-74.00,221112,"C,D",Power Plants,"40,722.20","40,681.10",18.75,22.35,,,,,,,,,,174.00,"40,548.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006394,110043803587,29-6 #2 Central Delivery Point,Blanco,NM,87412,,RIO ARRIBA COUNTY,36.75,-107.45,213112,C,Petroleum and Natural Gas Systems,"15,353.19","15,337.30",7.25,8.64,,,,,,,,,,"15,353.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002885,110007013150,30-5 Compressor Station,Aztec,NM,87410,,RIO ARRIBA COUNTY,36.81,-107.40,213112,C,Petroleum and Natural Gas Systems,"21,883.57","21,861.10",10.25,12.22,,,,,,,,,,"21,883.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002707,110041006041,31-6 Central Delivery Point,BLOOMFIELD,NM,87413,,RIO ARRIBA COUNTY,36.84,-107.42,213112,C,Petroleum and Natural Gas Systems,"62,914.16","62,849.50",29.50,35.16,,,,,,,,,,"62,914.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003742,110010392887,31st Street Landfill,WESTCHESTER,IL,60154,11700 W 31ST ST,COOK COUNTY,41.84,-87.92,562212,"C,HH",Waste,"120,707.35",140.10,"120,567.25",,,,,,,,,,,140.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"120,567.25",,,,N,N,N
1002718,110043815725,32-7 Central Delivery Point,Blanco,NM,87412,,SAN JUAN COUNTY,36.93,-107.56,213112,C,Petroleum and Natural Gas Systems,"40,757.10","40,714.90",19.25,22.95,,,,,,,,,,"40,757.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002721,110070081839,32-8 #2 Central Delivery Point,Blanco,NM,87412,,SAN JUAN COUNTY,36.96,-107.66,213112,C,Petroleum and Natural Gas Systems,"44,334.28","44,288.80",20.75,24.73,,,,,,,,,,"44,334.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
