Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,
1013701,110070931003,30-30 Gas Plant,Plains,TX,79355,2300 FM 1622,YOAKUM COUNTY,33.05,-102.89,211130,"C,PP,RR (RPT),W-PROC","Injection of CO2,Petroleum and Natural Gas Systems,Suppliers of CO2",44170.546,43895.8,259.25,15.496,,,,,,,,,,27874.396,,,,,,,,,,,,,,,,,,,16296.15,,,,,,,,,,,,,,,,,,N,N,N,
1012037,110063753656,50 Buttes Gas Plant,Gillette,WY,82716,3669 South Hwy 50,CAMPBELL COUNTY,43.85,-105.78,213112,"C,W-PROC",Petroleum and Natural Gas Systems,61389.032,58078.3,3278.25,32.482,,,,,,,,,,55537.34,,,,,,,,,,,,,,,,,,,5851.692,,,,,,,,,,,,,,,,,,N,N,N,
1010475,,AJAX PLANT,Wheeler,TX,79014,16600 CR N,,35.55,-100.12,211130,"C,W-PROC",Petroleum and Natural Gas Systems,38738.508,38053.6,663.75,21.158,,,,,,,,,,36776.912,,,,,,,,,,,,,,,,,,,1961.596,,,,,,,,,,,,,,,,,,N,N,N,
1003129,110062227139,AKER PLANT,STREETMAN,TX,75859,261 FCR 181,FREESTONE COUNTY,31.91,-96.22,211130,"C,PP,W-PROC","Petroleum and Natural Gas Systems,Suppliers of CO2",39758.102,39504.3,231.75,22.052,,,,,,,,,,38867.104,,,,,,,,,,,,,,,,,,,890.998,,,,,,,,,,,,,,,,,,N,N,N,
1005887,110070597614,ALLIANCE COMPRESSOR STATION,JUSTIN,TX,76247,12495 HWY 114,DENTON COUNTY,33.04,-97.33,211130,"C,W-PROC",Petroleum and Natural Gas Systems,48988.056,46801,2180.5,6.556,,,,,,,,,,11753.756,,,,,,,,,,,,,,,,,,,37234.3,,,,,,,,,,,,,,,,,,N,N,N,
1007496,110071160883,ALLISON GAS PLANT,Allison,TX,79003,16298 Co. Rd. EE,WHEELER COUNTY,35.61,-100.10,211130,"C,W-PROC",Petroleum and Natural Gas Systems,42329.308,37589.4,4718.75,21.158,,,,,,,,,,37601.908,,,,,,,,,,,,,,,,,,,4727.4,,,,,,,,,,,,,,,,,,N,N,N,
1004377,110043803578,121 REGIONAL DISPOSAL FACILITY,MELISSA,TX,75454,3820 SAM RAYBURN HIGHWAY,COLLIN COUNTY,33.30,-96.54,562212,HH,Waste,288301.75,,288301.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288301.75,,,,N,N,N,
1010040,110071159872,15-18565/15-18662,Hazard,KY,40701,1021 Tori Drive,PERRY COUNTY,37.27,-83.24,212115,FF,Other,122326.75,,122326.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122326.75,,,,,,N,N,N,
1001155,110070942964,1500 South Tibbs LLC d/b/a Aurorium Indianapolis LLC,Indianapolis,IN,46242,1500 South Tibbs Avenue,MARION COUNTY,39.73,-86.26,325199,C,Chemicals,64807.356,64740.5,30.5,36.356,,,,,,,,,,64807.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1000112,110071159492,23rd and 3rd,BROOKLYN,NY,11232,730 3rd Avenue,Kings,40.66,-74.00,221112,"C,D",Power Plants,31916.132,31883.8,14.75,17.582,,,,,,,,,,79,31837.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
