Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? 
1004377,110043803578,121 REGIONAL DISPOSAL FACILITY,MELISSA,TX,75454,3820 SAM RAYBURN HIGHWAY,COLLIN COUNTY,33.30,-96.54,562212,HH,Waste,"199,011.75",,"199,011.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"199,011.75",,,,N,N,N
1010040,110070082056,15-18565/15-18662,Hazard,KY,40701,4200 S. Hwy 15,PERRY COUNTY,37.22,-83.16,212112,FF,Other,"118,204.50",,"118,204.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"118,204.50",,,,,,N,N,N
1010085,110055519176,15-19015,Hazard,KY,41701,1845 S. KY HWY 15,PERRY COUNTY,37.24,-83.18,212112,FF,Other,"55,872.50",,"55,872.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,872.50",,,,,,N,N,N
1000112,110019827286,23rd and 3rd,BROOKLYN,NY,11232,730 3rd Avenue,Kings,40.66,-74.00,221112,"C,D",Power Plants,"67,399.25","67,331.30",31.00,36.95,,,,,,,,,,132.00,"67,267.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006394,110043803587,29-6 #2 Central Delivery Point,Blanco,NM,87412,,RIO ARRIBA COUNTY,36.75,-107.45,213112,C,Petroleum and Natural Gas Systems,"15,391.59","15,375.70",7.25,8.64,,,,,,,,,,"15,391.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002885,110007013150,30-5 Compressor Station,Aztec,NM,87410,,RIO ARRIBA COUNTY,36.81,-107.40,213112,C,Petroleum and Natural Gas Systems,"22,506.52","22,483.50",10.50,12.52,,,,,,,,,,"22,506.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002707,110041006041,31-6 Central Delivery Point,BLOOMFIELD,NM,87413,,RIO ARRIBA COUNTY,36.84,-107.42,213112,C,Petroleum and Natural Gas Systems,"52,646.75","52,592.50",24.75,29.50,,,,,,,,,,"52,646.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003742,110010392887,31st Street Landfill,WESTCHESTER,IL,60154,11700 W 31ST ST,COOK COUNTY,41.84,-87.92,562212,"C,HH",Waste,"92,696.60",186.60,"92,510.00",,,,,,,,,,,186.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,510.00",,,,N,N,N
1002718,110043815725,32-7 Central Delivery Point,Blanco,NM,87412,,SAN JUAN COUNTY,36.93,-107.56,213112,C,Petroleum and Natural Gas Systems,"33,654.12","33,619.60",15.75,18.77,,,,,,,,,,"33,654.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002721,110070081839,32-8 #2 Central Delivery Point,Blanco,NM,87412,,SAN JUAN COUNTY,36.96,-107.66,213112,C,Petroleum and Natural Gas Systems,"40,868.40","40,826.20",19.25,22.95,,,,,,,,,,"40,868.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
