Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? 
1004377,110043803578,121 REGIONAL DISPOSAL FACILITY,MELISSA,TX,75454,3820 SAM RAYBURN HIGHWAY,COLLIN COUNTY,33.30,-96.54,562212,HH,Waste,"194,000.00",,"194,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"194,000.00",,,,N,N,N
1010040,110070082056,15-18565/15-18662,Hazard,KY,40701,4200 S. Hwy 15,PERRY COUNTY,37.22,-83.16,212112,FF,Other,"390,393.50",,"390,393.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"390,393.50",,,,,,N,N,N
1010085,110055519176,15-19015,Hazard,KY,41701,1845 S. KY HWY 15,PERRY,37.24,-83.18,212112,FF,Other,"64,664.50",,"64,664.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,664.50",,,,,,N,N,N
1000112,110019827286,23rd and 3rd,BROOKLYN,NY,11232,730 3rd Avenue,Kings,40.66,-74.00,221112,"C,D",Power Plants,"100,591.83","100,489.90",46.50,55.43,,,,,,,,,,289.70,"100,302.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006394,,29-6 #2 Central Delivery Point,Blanco,NM,87412,,Rio Arriba,36.75,-107.45,213112,C,Petroleum and Natural Gas Systems,"19,389.57","19,368.40",9.25,11.92,,,,,,,,,,"19,389.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002885,,30-5 Central Delivery Point Compressor Station,Aztec,NM,87410,,Rio Arriba,36.81,-107.40,213112,C,Petroleum and Natural Gas Systems,"36,223.16","36,185.30",17.00,20.86,,,,,,,,,,"36,223.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002707,,31-6 Central Delivery Point,BLOOMFIELD,NM,87413,,Rio Arriba,36.84,-107.42,213112,C,Petroleum and Natural Gas Systems,"66,286.81","66,219.80",31.25,35.76,,,,,,,,,,"66,286.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003742,110010392887,31st Street Landfill,WESTCHESTER,IL,60154,11700 W 31ST ST,DUPAGE,41.83,-87.92,562212,HH,Waste,"95,113.25",,"95,113.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,113.25",,,,N,N,N
1002718,110043815725,32-7 Central Delivery Point,BLANCO,NM,87412,,SAN JUAN,36.93,-107.56,213112,C,Petroleum and Natural Gas Systems,"52,001.80","51,947.50",24.50,29.80,,,,,,,,,,"52,001.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002721,110070081839,32-8 #2 CDP COMPRESSOR STATION,BLANCO,NM,87412,,SAN JUAN,36.96,-107.66,213112,C,Petroleum and Natural Gas Systems,"49,057.72","49,007.90",23.00,26.82,,,,,,,,,,"49,057.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003188,110000599273,3M BROWNWOOD,BROWNWOOD,TX,76801,4501 HIGHWAY 377 SOUTH,BROWN COUNTY,31.67,-99.00,326113,"C,N",Minerals,"37,149.36","37,111.00",17.50,20.86,,,,,,,,,,"36,951.56",,,,,,,,,197.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005043,110035810799,3M CO,MAPLEWOOD,MN,55144,,RAMSEY COUNTY,44.95,-93.00,541712,C,Other,"76,373.37","76,297.20",34.75,41.42,,,,,,,,,,"76,373.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003739,110000589159,3M CO - GUIN,GUIN,AL,35563,6675 US HIGHWAY 43,MARION,33.97,-87.90,326113,"C,N",Minerals,"29,977.59","29,948.00",13.50,16.09,,,,,,,,,,"28,629.79",,,,,,,,,"1,347.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007698,110000421776,3M CO - WAUSAU DOWNTOWN,WAUSAU,WI,54401,144 ROSECRANS ST,MARATHON,44.95,-89.64,212313,C,Other,"28,388.54","28,359.50",13.25,15.79,,,,,,,,,,"28,388.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004206,110000367567,3M COMPANY,DECATUR,AL,35609,1400 STATE DOCKS RD.,MORGAN COUNTY,34.64,-87.04,325211,"C,L,OO","Chemicals,Industrial Gas Suppliers","60,442.67","57,210.10",27.00,32.18,111.00,,,,700.00,,2.39,"2,360.00",,"57,269.28",,,,,,,,"3,173.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006665,110013886875,3M CORDOVA,CORDOVA,IL,61242,22614 ROUTE 84 NORTH,ROCK ISLAND,41.76,-90.28,325998,"C,L,OO","Chemicals,Industrial Gas Suppliers","1,380,760.01","29,857.80",14.00,17.28,"70,531.61","807,638.74","26,061.59","43,184.51","381,774.99","4,097.20",3.01,"17,579.27",,"29,889.08",,,,,,,,"1,350,870.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004836,110000423667,3M Cottage Grove Center - Site,Cottage Grove,MN,55016,10746 Innovation Rd,WASHINGTON,44.79,-92.91,325998,"C,L,N,OO","Chemicals,Industrial Gas Suppliers,Minerals","73,653.20","51,356.10",47.75,67.35,,"3,771.02","2,929.80",,"13,081.18",,,"2,400.00","2,719.90","50,319.00",,,,,,,,"22,182.00","1,152.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003408,110040995199,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,LITTLE ROCK,AR,72216,3110 WALTERS DRIVE,PULASKI,34.71,-92.24,333120,C,Other,"22,891.56","22,868.00",10.75,12.81,,,,,,,,,,"22,891.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004914,110000425059,3M MAGNETIC TAPE MANUFACTURING DIVISION,HUTCHINSON,MN,55350,905-915 ADAMS STREET SOUTHEAST,MCLEOD COUNTY,44.88,-94.36,322222,C,Pulp and Paper,"39,973.45","39,931.80",19.00,22.65,,,,,,,,,,"39,973.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004804,110000443805,3M NEVADA PLANT,NEVADA,MO,64772,2120 E. AUSTIN,VERNON,37.83,-94.33,326113,C,Other,"30,394.64","30,363.40",14.25,16.99,,,,,,,,,,"30,394.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007408,110055511780,4 West Mine,Dilliner,PA,15327,625 Bald Hill Church Road,GREENE,39.76,-80.00,212112,FF,Other,"62,458.25",,"62,458.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62,458.25",,,,,,N,N,N
1001106,110040862527,48th Street Peaking Station,HOLLAND,MI,49423,491 E 48TH ST,Allegan,42.76,-86.09,221112,"C,D",Power Plants,"9,814.76","9,803.20",5.00,6.56,,,,,,,,,,16.30,"9,798.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004680,110013945062,58TH ST LF (MAIN COUNTY LF),MIAMI,FL,33178,8831 NW 58TH ST,MIAMI-DADE COUNTY,25.83,-80.34,562212,HH,Waste,"106,687.75",,"106,687.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106,687.75",,,,N,N,N
1000766,110019296509,59th Street,NEW YORK,NY,10019,850 12TH AVE,New York,40.77,-73.99,221330,C,Power Plants,"265,415.76","264,797.50",202.25,416.01,,,,,,,,,,"265,415.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007733,110041047505,69TH ST WWTP,HOUSTON,TX,77020,2525 SSGT MACARIO GARCIA DR,HARRIS COUNTY,29.76,-95.30,221320,C,Other,"25,928.35","25,901.50",12.25,14.60,,,,,,,,,,"25,928.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1000767,110019296527,74th Street,NEW YORK,NY,10021,506 E 75TH ST,New York,40.77,-73.95,221330,C,Power Plants,"297,071.80","296,057.20",300.00,714.60,,,,,,,,,,"297,071.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
