Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? 
1013701,110070931003,30-30 Gas Plant,Plains,TX,79355,2300 FM 1622,YOAKUM COUNTY,33.05,-102.89,211130,"C,UU,W-PROC","Injection of CO2,Petroleum and Natural Gas Systems",31276.214,29481.4,1782,12.814,,,,,,,,,,17818.932,,,,,,,,,,,,,,,,,,,13457.282,,,,,,,,,,,,,,,,,,N,N,N
1012037,110063753656,50 Buttes Gas Plant,Gillette,WY,82716,3669 South Hwy 50,CAMPBELL COUNTY,43.85,-105.78,213112,"C,W-PROC",Petroleum and Natural Gas Systems,72243.536,70339.7,1864.5,39.336,,,,,,,,,,68093.692,,,,,,,,,,,,,,,,,,,4149.844,,,,,,,,,,,,,,,,,,N,N,N
1010475,,AJAX PLANT,Wheeler,TX,79014,16600 CR N,,35.55,-100.12,211130,"C,W-PROC",Petroleum and Natural Gas Systems,32709.48,31910.6,781,17.88,,,,,,,,,,31350.632,,,,,,,,,,,,,,,,,,,1358.848,,,,,,,,,,,,,,,,,,N,N,N
1003129,110062227139,AKER PLANT,STREETMAN,TX,75859,261 FCR 181,FREESTONE COUNTY,31.91,-96.22,211130,"C,PP,W-PROC","Petroleum and Natural Gas Systems,Suppliers of CO2",36973.562,36497,456,20.562,,,,,,,,,,36189.464,,,,,,,,,,,,,,,,,,,784.098,,,,,,,,,,,,,,,,,,N,N,N
1005887,110070597614,ALLIANCE COMPRESSOR STATION,JUSTIN,TX,76247,12495 HWY 114,DENTON COUNTY,33.04,-97.33,211130,"C,W-PROC",Petroleum and Natural Gas Systems,43989.846,40811.3,3170.5,8.046,,,,,,,,,,14337.796,,,,,,,,,,,,,,,,,,,29652.05,,,,,,,,,,,,,,,,,,N,N,N
1007496,110071160883,ALLISON GAS PLANT,Allison,TX,79003,16298 Co. Rd. EE,WHEELER COUNTY,35.61,-100.10,211130,"C,W-PROC",Petroleum and Natural Gas Systems,41699.848,40533.7,1143.5,22.648,,,,,,,,,,40551.948,,,,,,,,,,,,,,,,,,,1147.9,,,,,,,,,,,,,,,,,,N,N,N
1004802,110000729105,ANSHUTZ RANCH EAST GAS PLANT,EVANSTON,WY,82930,20 MILES SOUTHWEST OF EVANSTON,UINTA COUNTY,41.07,-111.04,211130,"C,W-PROC",Petroleum and Natural Gas Systems,3221.338,3088.3,131.25,1.788,,,,,,,,,,3081.388,,,,,,,,,,,,,,,,,,,139.95,,,,,,,,,,,,,,,,,,N,N,N
1010353,110071159680,APPLEBY TREATER,Appleby,TX,75965,,NACOGDOCHES COUNTY,31.69,-94.58,211130,"C,W-PROC",Petroleum and Natural Gas Systems,60413.092,56025.2,4379.25,8.642,,,,,,,,,,15651.692,,,,,,,,,,,,,,,,,,,44761.4,,,,,,,,,,,,,,,,,,N,N,N
1002515,110043804096,ARTESIA GAS PLANT,ARTESIA,NM,88210,,EDDY COUNTY,32.76,-104.21,211130,"C,PP,UU,W-PROC","Injection of CO2,Petroleum and Natural Gas Systems,Suppliers of CO2",95492.496,94177.7,1269.5,45.296,,,,,,,,,,79075.052,,,,,,,,,,,,,,,,,,,16417.444,,,,,,,,,,,,,,,,,,N,N,N
1005770,110071162242,AUX SABLE LIQUID PRODUCTS INC,MORRIS,IL,60450,6155 EAST U.S. ROUTE 6,GRUNDY COUNTY,41.41,-88.31,211130,"C,NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",279699.31,275903.6,3640.75,154.96,,,,,,,,,,262153.812,,,,,,,,,,,,,,,,,,,17545.498,,,,,,,,,,,,,,,,,,N,N,N
